*.cls	ObjectScript
*.cls	OpenEdge ABL
*.cls	TeX
*.cls	VBA
*.cls	Visual Basic 6.0
*.clue	Clue
*.clw	Clarion
*.cmake	CMake
*.cmake.in	CMake
*.cmd	Batchfile
*.cmp	Gerber Image
*.cnc	G-code
*.cnf	INI
*.cob	COBOL
*.cobol	COBOL
*.cocci	SmPL
*.code-snippets	JSON with Comments
*.code-workspace	JSON with Comments
*.coffee	CoffeeScript
*.coffee.md	Literate CoffeeScript
*.com	DIGITAL Command Language
*.command	Shell
*.conll	CoNLL-U
*.conllu	CoNLL-U
*.containerfile	Dockerfile
*.cook	Cooklang
*.coq	Rocq Prover
*.cp	C++
*.cp	Component Pascal
*.cpp	C++
*.cpp-objdump	Cpp-ObjDump
*.cppm	C++
*.cppobjdump	Cpp-ObjDump
*.cproject	XML
*.cps	Component Pascal
*.cpy	COBOL
*.cql	SQL
*.cr	Crystal
*.crc32	Checksums
*.creole	Creole
*.cs	C#
*.cs	Smalltalk
*.cs.pp	C#
*.csc	GSC
*.cscfg	XML
*.csd	Csound Document
*.csdef	XML
*.csh	Tcsh
*.cshtml	HTML+Razor
*.csl	Kusto
*.csl	XML
*.cson	CSON
*.csproj	XML
*.css	CSS
*.csv	CSV
*.csx	C#
*.ct	XML
*.ctl	Visual Basic 6.0
*.ctp	PHP
*.cts	TypeScript
*.cu	Cuda
*.cue	CUE
*.cue	Cue Sheet
*.cuh	Cuda
*.curry	Curry
*.cw	Redcode
*.cwl	Common Workflow Language
*.cxx	C++
*.cxx-objdump	Cpp-ObjDump
*.cy	Cycript
*.cylc	Cylc
*.cyp	Cypher
*.cypher	Cypher
*.d	D
*.d	DTrace
*.d	Makefile
*.d-objdump	D-ObjDump
*.d2	D2
*.dae	COLLADA
*.darcspatch	Darcs Patch
*.dart	Dart
*.das	Daslang
*.dats	ATS
*.db2	SQLPL
*.dcl	Clean
*.ddl	PLSQL
*.ddl	SQL
*.decls	BlitzBasic
*.depproj	XML
*.desktop	desktop
*.desktop.in	desktop
*.dfm	Pascal
*.dfy	Dafny
*.dhall	Dhall
*.di	D
*.diff	Diff
*.dircolors	dircolors
*.dita	XML
*.ditamap	XML
*.ditaval	XML
*.djs	Dogescript
*.dll.config	XML
*.dlm	IDL
*.dm	DM
*.do	Stata
*.dockerfile	Dockerfile
*.dof	INI
*.doh	Stata
*.dot	Graphviz (DOT)
*.dotsettings	XML
*.dpatch	Darcs Patch
*.dpr	Pascal
*.druby	Mirah
*.dsc	Debian Package Control File
*.dsc	DenizenScript
*.dsl	ASL
*.dsp	Faust
*.dsp	Microsoft Developer Studio Project
*.Dsr	Visual Basic 6.0
*.dtx	TeX
*.duby	Mirah
*.dwl	DataWeave
*.dyalog	APL
*.dyl	Dylan
*.dylan	Dylan
*.dzn	MiniZinc Data
*.e	E
*.e	Eiffel
*.e	Euphoria
*.eam.fs	Formatted
*.eb	Easybuild
*.ebnf	EBNF
*.ebuild	Gentoo Ebuild
*.ec	eC
*.ecl	ECL
